chrom,start,end,strand,phyloP,phastCons,lowercase
2,144879026,144879154,+,"[ 1.382 -0.118  1.297  3.511  2.109  1.358  1.784  1.811  2.063  2.032
  4.098  2.026  2.112  2.056  2.539  0.441  4.098  1.031  0.796  1.081
  0.845  1.406  1.33   3.468  2.139  0.189  0.781  1.214  2.044  0.789
  2.056  2.06   2.126  0.821  3.511  0.427  3.511  2.037  0.824  2.1
  2.056  3.509  4.098  2.648  3.511  3.511  1.83   0.791  1.221  1.36
  0.372  1.761  0.904  0.538  2.061  0.893  2.655  4.149  0.731  2.067
  0.818  3.553  3.553  3.553  1.41   2.549  1.395  3.515  3.515  0.42
  4.103  4.103  3.509  3.553  1.363  0.796  0.122  1.282  2.128  3.509
  4.149  4.149  1.292  2.948  1.735  4.149  2.542  0.488  0.848  1.405
  2.155  1.714  4.381  1.348  2.088 -0.139  0.529  0.251  2.671  2.605
  2.7    2.116  3.504  2.907  2.17   3.553  3.553  1.307  0.877  2.555
  3.553  2.149  1.987  1.876  3.896 -1.154 -0.533  1.263  4.149  4.149
  1.402  2.077  3.553  3.553  3.553  2.701  2.129  2.149]","[0.995 0.981 0.998 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    0.995 0.998 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.999 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.997 1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.995 0.903
 0.916 0.926 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.99  0.002 0.003 0.797 0.999 1.
 1.    1.    1.    1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
5,92522351,92522479,+,"[ 2.790e+00  1.473e+00  2.185e+00  2.123e+00  1.280e-01  7.640e-01
  1.700e-02  2.016e+00  3.840e-01 -3.820e-01  1.075e+00  1.090e-01
  2.761e+00  2.812e+00  2.088e+00  3.764e+00  3.092e+00  3.920e-01
  1.002e+00  1.250e+00  5.290e+00  5.383e+00  3.774e+00  4.590e+00
  1.509e+00  1.131e+00  4.300e-01  1.113e+00  3.320e-01  2.400e+00
  2.020e-01  4.590e+00  4.220e-01  1.280e-01  2.000e-03 -1.180e-01
  3.620e-01  1.421e+00  2.400e-02  1.990e-01  3.600e-01  3.774e+00
  6.320e-01  2.798e+00  5.490e-01  3.660e-01  7.700e-02 -3.400e-02
  7.080e-01  4.509e+00  2.136e+00  3.890e-01  1.063e+00  1.099e+00
  3.172e+00  1.869e+00  1.316e+00  1.578e+00  1.534e+00 -3.140e-01
  1.470e+00  1.522e+00  3.813e+00  3.790e+00  1.086e+00  2.889e+00
  1.380e-01  1.521e+00  1.740e-01  1.382e+00  3.195e+00  2.050e+00
  2.842e+00  2.193e+00  1.036e+00  2.142e+00  7.320e-01  4.177e+00
  3.910e-01  6.140e-01  6.920e-01  2.117e+00  3.300e-01  2.144e+00
  4.590e+00  3.079e+00  2.850e+00  1.539e+00 -6.450e-01  5.140e-01
 -4.630e-01  9.000e-02  3.972e+00  7.350e-01  1.228e+00  5.180e-01
  4.130e-01  1.687e+00  1.915e+00  2.136e+00  6.700e-02  2.974e+00
  9.800e-02  1.037e+00  3.189e+00  1.181e+00  3.108e+00  1.220e-01
  1.183e+00 -2.190e-01  1.684e+00  7.420e-01  4.778e+00  1.073e+00
  1.839e+00  8.480e-01  2.500e-01  3.800e-02  2.130e-01  3.943e+00
  3.006e+00  1.651e+00  1.189e+00 -1.800e-02  2.910e-01  7.350e-01
  1.620e+00  1.681e+00]","[1.    1.    1.    0.981 0.087 0.042 0.02  0.03  0.012 0.005 0.247 0.285
 0.988 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.999 1.    0.998 1.    0.994 0.995 0.362 0.019 0.001 0.
 0.001 0.008 0.001 0.004 0.084 0.987 0.987 0.988 0.023 0.007 0.003 0.011
 0.641 0.999 1.    0.998 1.    1.    1.    1.    1.    0.995 0.971 0.835
 0.972 0.999 1.    1.    1.    1.    0.984 0.987 0.985 1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.997 0.997 0.997 0.998 0.994 1.
 1.    1.    0.998 0.889 0.001 0.    0.    0.058 0.969 0.994 0.998 0.997
 0.997 1.    1.    1.    0.995 1.    0.995 1.    1.    1.    0.999 0.768
 0.734 0.156 0.992 0.996 1.    1.    0.995 0.941 0.    0.001 0.006 0.997
 0.997 0.958 0.675 0.08  0.025 0.026 0.875 0.974]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
13,43744810,43744938,+,"[ 2.308  0.977  1.179  1.432  0.98   0.271  0.056  2.026  1.41   4.363
  1.623  1.504  2.405  2.789  1.707 -2.163  4.397  2.282  1.002  2.269
  1.404  1.524  2.26   2.295  3.765  2.318  2.309  2.335  2.341  4.711
  2.285  3.765  3.167  3.718  3.765  2.207  4.397  4.397  0.279  2.298
  1.59   1.467  1.43   0.515  0.863  0.212  0.06   0.071  0.323  2.927
  0.106  0.689 -0.294  0.293 -1.152 -0.125  1.115 -1.719 -2.058  0.584
  0.869  1.415  1.44   0.031  1.021 -0.107  2.234  0.978  0.853  0.279
  2.935  1.956  2.017  3.733  0.583  1.577  2.07   2.049  2.86   1.014
  1.922  1.975  0.259  0.923 -0.274  1.452  2.329  0.934  0.972  0.522
  1.075 -0.563  0.735  0.023  0.295  1.023 -0.088  2.278  0.549  2.825
  1.006  0.897  0.471  0.256  0.971  2.831  0.933  1.063  2.169  4.251
  1.532  0.574  0.955  0.407  0.302  0.721  1.252 -0.099  0.441 -0.481
 -0.175  1.448  1.46   0.005  0.263  0.21   0.47   0.287]","[1.    1.    1.    0.998 0.989 0.943 0.92  0.992 0.996 1.    1.    1.
 1.    0.998 0.918 0.031 0.995 1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.999 1.    0.997 0.992 0.96  0.724 0.432 0.057 0.022 0.024
 0.054 0.271 0.004 0.003 0.    0.    0.    0.    0.002 0.    0.    0.796
 0.834 0.861 0.862 0.837 0.861 0.77  0.988 0.997 0.998 0.998 1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.995 0.926 0.914
 0.895 0.948 0.955 0.875 0.754 0.456 0.34  0.006 0.006 0.004 0.012 0.182
 0.188 0.71  0.986 0.999 0.998 0.976 0.975 0.98  0.993 1.    1.    1.
 1.    1.    0.993 0.865 0.68  0.385 0.258 0.23  0.137 0.034 0.036 0.
 0.019 0.075 0.075 0.008 0.003 0.001 0.001 0.058]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
15,33867788,33867916,+,"[ 0.985 -0.309  1.547  1.824 -0.905  0.273  0.963 -0.958  2.372  1.75
  0.767  2.542  3.433  2.793  0.872 -0.714 -1.991  2.343  2.406  0.498
  2.48   0.346 -1.211 -0.498  0.935  0.515  1.816  2.545  0.844  2.539
  4.986  0.967  4.63   1.825  1.874  2.559  4.986  1.728  3.252  2.492
  0.578  4.986  6.264 -0.778  6.264  6.264  0.336  5.838  3.565  0.217
  3.365  4.921  1.729  1.847  0.836  0.182  6.264  6.264  0.228  3.347
  0.946 -0.376  3.569 -0.91  -0.635  0.48   0.555  4.902  4.966  1.523
  1.34   0.837  2.763 -0.464  0.568  0.404  0.218  3.05  -0.296 -0.037
  1.5   -1.011  0.224  2.204 -1.402  0.18   0.265 -0.772 -1.919 -0.345
  1.68  -0.038  0.137  0.918 -1.32   1.32   0.147  1.213 -0.305 -1.22
 -0.918 -0.662  0.082  0.159  0.828 -0.205 -0.453 -0.458  0.75  -1.194
 -1.658 -0.117 -1.687 -2.112  0.938 -1.905 -0.987 -0.866  1.141  0.727
  0.128 -0.562  0.072  0.324  0.78   0.007  0.749 -0.403]","[0.675 0.086 0.114 0.11  0.    0.    0.001 0.    0.974 0.997 0.998 1.
 1.    0.999 0.534 0.    0.    0.968 0.978 0.958 0.953 0.117 0.    0.
 0.549 0.7   0.979 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.234 1.    1.    0.997 1.
 1.    0.997 1.    1.    1.    0.999 0.985 0.975 1.    1.    0.988 0.991
 0.846 0.487 0.6   0.    0.    0.133 0.449 0.999 1.    0.999 0.993 0.981
 0.965 0.003 0.001 0.001 0.002 0.023 0.    0.    0.001 0.    0.    0.029
 0.    0.    0.    0.    0.    0.    0.002 0.    0.    0.001 0.    0.002
 0.001 0.003 0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.
 0.001 0.    0.    0.    0.    0.    0.004 0.    0.    0.    0.006 0.004
 0.001 0.    0.    0.001 0.003 0.001 0.003 0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
17,81693484,81693612,+,"[-0.443 -0.596 -0.049  0.172  1.387  0.563  0.387 -0.381 -2.441  0.648
 -0.839  0.03   0.631 -0.272 -0.977  2.654  8.448  9.063  4.24   8.448
  8.448  3.176  4.293  2.778 -3.608  9.063  8.448 -0.038  7.2    9.063
 -1.029  8.448  8.448  0.759  1.837  3.533 -3.671 -0.574  2.828 -1.192
 -0.542  3.996 -0.976  0.892  2.788 -0.371  0.126  4.434 -3.114  7.297
  6.703 -0.05   4.438  7.31   3.257  7.209  5.516 -1.575  7.209  5.516
 -3.524  7.112  8.448  2.979  7.31   6.699  3.198  1.699  5.611  6.079
  6.699  7.209  3.517  8.51   6.085  1.411  7.209  5.439 -1.048  1.791
  5.49   0.933  4.313  5.481 -2.259  5.481  5.526  4.786  7.209  6.699
  4.335  5.611  5.385 -0.724  7.209  6.56   5.031  7.112  7.259  2.042
 -0.302 -0.244  0.135  0.678 -2.102 -0.716  0.303  0.077 -1.62  -0.88
 -0.73  -0.407 -0.324 -0.483 -0.598  0.488  0.3   -1.297 -4.439 -3.624
 -0.042 -3.137 -1.246 -2.031 -1.435 -0.14  -0.075 -0.28 ]","[0.    0.    0.    0.    0.002 0.001 0.    0.    0.    0.001 0.    0.
 0.    0.    0.    0.984 1.    1.    1.    1.    1.    1.    1.    0.988
 0.    1.    1.    0.45  1.    1.    0.032 1.    1.    0.999 1.    0.997
 0.    0.    0.071 0.    0.    0.122 0.    0.069 0.203 0.001 0.004 0.215
 0.    1.    1.    0.894 1.    1.    1.    1.    1.    0.002 1.    1.
 0.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.011 0.888 1.    1.    1.    1.
 0.    1.    1.    1.    1.    1.    1.    1.    1.    0.151 1.    1.
 1.    1.    1.    0.937 0.095 0.007 0.003 0.002 0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
1,74012715,74012843,+,"[ 0.228  1.203  1.423  0.005  0.489  1.323  1.288  0.008  1.241  0.906
  1.348  3.641  0.206  0.193  1.518  0.795  1.425  0.532  1.778  0.463
  1.903  1.796  1.989  0.543  2.821  1.743  0.897  2.422  0.329  2.542
  0.436  0.804  1.711  2.435  0.624  0.721  0.171  0.676  1.631  0.686
 -0.244  0.033  1.267  2.486  1.859  2.455  0.014 -0.082 -0.411 -1.11
  0.181  0.206  0.347  1.322  0.361  0.136  3.383  4.006  3.425  3.425
  2.575  0.882  0.431  0.443  0.067  1.716  1.74   2.546  1.324 -0.805
  0.826 -0.178  0.171  0.15  -0.005  0.383 -0.249  0.191  2.163  1.069
  0.55   0.547  1.048  0.547  0.57   0.409 -0.408 -0.118 -0.398  0.778
  0.27   0.849 -0.179  0.905  2.507  0.802  0.527  0.274  0.252  0.247
  0.786  0.163  1.699  1.323  0.353 -0.74   2.534  0.779  1.283  1.703
  1.31   1.345  1.052  1.705  1.11   0.532  0.428  1.924  1.006  0.578
  1.457  0.255 -0.317 -0.327  1.644  1.895  0.382  0.419]","[0.964 0.968 0.966 0.909 0.925 0.964 0.973 0.972 0.994 0.999 1.    1.
 0.994 0.995 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.999 1.    1.    1.    1.    1.    0.977 0.955
 0.897 0.891 0.883 0.794 0.679 0.699 0.975 0.999 0.998 0.969 0.066 0.003
 0.    0.    0.002 0.026 0.128 0.572 0.605 0.651 0.994 1.    1.    1.
 1.    0.998 0.992 0.988 0.985 0.998 0.999 0.997 0.918 0.002 0.002 0.
 0.    0.    0.    0.    0.001 0.071 0.596 0.62  0.61  0.593 0.578 0.46
 0.353 0.162 0.    0.    0.    0.028 0.037 0.142 0.146 0.443 0.511 0.487
 0.398 0.304 0.241 0.24  0.26  0.261 0.31  0.305 0.177 0.144 0.958 0.982
 0.997 1.    1.    1.    1.    1.    1.    0.998 0.996 0.997 0.993 0.967
 0.933 0.407 0.008 0.006 0.158 0.16  0.091 0.055]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
12,53328928,53329056,+,"[ 0.16   0.064  0.335 -1.543  1.206 -0.015 -2.133  0.591  0.883  0.158
  4.39   1.511  3.571  3.571  4.774  2.206  1.394  3.053  3.68   0.287
  0.218 -0.161  0.103  0.337 -0.023  6.68   0.077  0.634  1.309  4.034
  3.079  4.186  0.321  0.475  5.829  3.331  3.207  3.95   7.311  3.848
  3.848  4.185  0.115  7.748  2.072 -1.208  2.623 -0.046 -1.481  7.393
  1.871 -0.192  2.051  1.004 -0.661  3.664  2.852  2.973  4.732  1.478
 -3.058  1.342 -0.069  2.875  1.686  1.1   -0.755  0.924  0.486 -1.115
  3.752  0.954  0.781  3.953  2.387  3.888  1.941  0.701 -1.663  4.492
  1.683 -1.301  2.105  3.85   1.653  3.174  0.431  0.245  4.482  3.949
 -3.819  4.52   0.205  1.007  4.89   5.022  2.834  3.362  2.52   6.036
  4.919  4.219  0.819  6.418  4.923  0.934  0.581  4.647 -0.668  3.824
  6.986 -0.246  7.622  4.483 -0.227  3.26   6.363 -1.955  3.874  0.038
  3.081  6.972  4.687  2.158  0.727  7.735  0.827  4.352]","[0.007 0.    0.    0.    0.    0.    0.    0.001 0.01  0.026 1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.001 0.    0.    0.    0.
 0.001 1.    0.868 0.898 0.988 1.    1.    1.    0.355 0.53  1.    1.
 1.    1.    1.    1.    1.    1.    0.962 1.    0.723 0.001 0.87  0.
 0.    1.    0.98  0.03  0.263 0.217 0.015 1.    1.    1.    1.    0.883
 0.    0.282 0.243 0.858 0.835 0.588 0.061 0.674 0.721 0.005 1.    0.998
 1.    1.    1.    1.    0.938 0.141 0.    0.995 0.94  0.002 0.978 1.
 1.    1.    0.968 0.965 1.    1.    0.    0.978 0.844 0.87  1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.98  0.971 0.979
 0.056 1.    1.    0.216 1.    1.    0.473 1.    1.    0.001 0.961 0.888
 1.    1.    1.    1.    1.    1.    0.996 0.996]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
12,21205930,21206058,+,"[ 0.321 -0.014  1.842 -0.541 -2.639 -0.942 -1.01   2.032 -0.861 -1.585
 -0.501  0.832 -0.953  6.145  7.649  7.649  7.649  7.139 -0.283  6.061
  6.061 -1.131  1.107  6.145 -1.79   6.145  7.649  3.44   7.649  4.695
 -2.27  -0.983  0.645 -0.499  4.335  4.368  2.097  5.914  7.649  0.302
  0.015  6.145 -0.855  4.333  4.449 -2.038  6.145  7.139 -0.718 -2.304
  3.474 -9.411  0.771  6.061 -0.688  1.661  6.061 -1.412  6.145  7.649
  0.535  0.282  3.214 -0.943  7.649  6.061  0.22   7.649  5.913 -1.336
  6.145  7.649 -1.26   2.195  0.166 -1.49  -0.249  0.217 -0.429  0.911
  0.31  -0.429 -1.365 -2.359 -1.326  4.77   3.124 -0.912 -2.817 -2.109
 -0.35   2.282  1.33   0.999  3.247  1.172 -0.533 -0.627  0.386 -2.724
  0.934 -1.196 -1.128  7.649  6.145  1.692  3.918  1.363  1.798  2.027
  1.784  0.    -2.466 -1.735  0.318 -0.282  0.568  0.147 -0.298  0.15
 -0.253  1.369 -0.164  1.566 -0.539 -2.323  0.067 -0.713]","[0.144 0.008 0.009 0.    0.    0.    0.    0.003 0.    0.    0.    0.
 0.    1.    1.    1.    1.    1.    0.561 1.    1.    0.047 0.826 0.951
 0.009 1.    1.    1.    1.    1.    0.    0.    0.    0.    0.999 1.
 1.    1.    1.    0.203 0.184 0.785 0.07  0.992 0.991 0.005 1.    1.
 0.    0.    0.163 0.    0.387 0.62  0.065 0.803 0.876 0.062 1.    1.
 0.922 0.881 0.893 0.085 1.    1.    0.993 1.    1.    0.013 1.    1.
 0.    0.004 0.    0.    0.    0.    0.    0.001 0.    0.    0.    0.
 0.    1.    0.999 0.    0.    0.    0.001 0.956 0.966 0.963 0.963 0.544
 0.    0.    0.    0.    0.    0.    0.    1.    1.    1.    1.    1.
 1.    0.998 0.965 0.074 0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.006 0.    0.004 0.    0.    0.    0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
2,63912505,63912633,+,"[ 1.6840e+00  1.9820e+00  5.5100e-01  7.3000e-01  5.8300e-01  9.8900e-01
 -2.9010e+00  1.8220e+00 -4.8900e-01 -1.2490e+00  2.3440e+00 -2.5500e-01
  1.5700e-01  2.2960e+00  1.6400e+00  2.6850e+00  7.4100e-01  3.2490e+00
  5.9000e-01 -3.3700e-01 -4.4000e-02 -1.6350e+00  1.6600e-01 -4.5300e-01
  7.4100e-01  1.6300e-01  3.1230e+00  1.4120e+00  1.3640e+00  1.4090e+00
 -4.0000e-03  5.0180e+00  7.2820e+00  7.8690e+00  6.1160e+00  7.9800e+00
  8.0170e+00  1.6960e+00  6.9030e+00  8.0170e+00  1.0470e+00  9.3250e+00
  8.0170e+00  2.7140e+00  8.0170e+00  1.0003e+01  4.5450e+00  8.0170e+00
  7.9050e+00  6.2980e+00  9.3250e+00  9.3250e+00  4.1000e+00  8.0170e+00
  1.0003e+01  1.5560e+00  6.1710e+00  2.1440e+00  2.0120e+00  9.3250e+00
  8.1540e+00  2.6540e+00  9.3250e+00  4.0190e+00  2.9270e+00  2.5640e+00
  8.0170e+00  2.5000e-01  2.8930e+00  6.2720e+00 -5.7000e-02  8.0170e+00
  1.0003e+01  2.4010e+00  8.0170e+00  8.0170e+00  6.6600e-01  8.1050e+00
  6.7780e+00  1.1250e+00  6.5860e+00  1.0003e+01  3.0300e-01  9.3250e+00
  3.4020e+00 -7.1600e-01  4.0420e+00  4.0570e+00  1.6270e+00  1.0003e+01
  6.0130e+00  2.7990e+00  5.1330e+00  7.9050e+00  4.5320e+00  9.3250e+00
  9.3250e+00  2.2750e+00  8.0170e+00  1.0003e+01  1.4780e+00  5.8370e+00
  2.7550e+00  1.4290e+00  7.9050e+00  2.7690e+00  5.6880e+00  9.3250e+00
  6.2780e+00  2.2330e+00  5.3520e+00  1.1350e+00  1.1410e+00  1.0003e+01
  1.0003e+01  4.3310e+00  9.3250e+00  8.0170e+00  8.1540e+00  8.0170e+00
  9.3250e+00  6.7800e+00  8.0170e+00  8.0920e+00  6.9200e-01  9.3250e+00
  6.0810e+00 -3.3700e-01]","[0.985 0.975 0.393 0.22  0.052 0.035 0.    0.009 0.    0.    0.113 0.009
 0.139 0.838 0.999 1.    0.985 0.982 0.154 0.    0.    0.    0.    0.
 0.192 0.22  0.981 0.987 0.986 0.981 0.957 1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.98  1.    1.    0.715 1.
 1.    1.    1.    1.    0.999 1.    1.    1.    1.    1.    0.985 1.
 1.    0.043 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.999 1.    1.    0.121]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
1,24925323,24925451,+,"[ 3.03   2.417  1.061  3.03   3.03   2.156  3.586  3.586  3.03   3.03
 -1.174  3.03   3.586  0.248 -1.531  0.225  0.264  2.173  3.586  2.994
  1.714  3.586  1.517  3.586  0.985  2.199  2.157  3.067  1.005  3.586
  3.841  1.045  3.841  0.919  0.053  3.067  1.604  1.75   1.532  3.586
  1.759  0.02  -0.503  1.715  3.067  3.03   3.586  3.586  3.586  1.637
  0.625  1.638  2.137  3.03   1.042  1.745  3.03   3.586  2.198  3.586
  2.421 -0.149  0.569  1.405  1.744  1.564 -0.01   0.196  0.551  0.034
  0.881  1.586 -0.49   0.244  0.603  1.035  1.447  0.023  1.524  3.03
  3.513  1.058 -0.352  0.268  1.428  1.367  1.27   3.841  1.415  0.011
  2.199  1.72   0.141  0.797  2.171  0.88   1.737  3.03   3.067  1.073
  0.763  0.857  0.453  0.561 -0.746 -1.703  2.425 -1.351  1.402  0.232
  1.718  0.552 -1.125 -0.04  -0.516  0.971  0.944  1.659  0.195 -0.41
 -1.316 -1.287  0.634 -2.652 -0.044 -0.098  0.778 -0.335]","[1.    1.    1.    1.    1.    1.    1.    1.    1.    0.981 0.292 0.626
 0.629 0.231 0.006 0.252 0.5   0.975 1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.999 0.997 1.
 1.    1.    1.    0.999 0.957 0.419 0.377 0.948 1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    0.952 0.964 0.974 0.973 0.905 0.317 0.274 0.259 0.245 0.271 0.284
 0.224 0.302 0.544 0.762 0.826 0.833 0.991 1.    1.    0.992 0.945 0.963
 0.997 1.    1.    1.    1.    0.994 1.    1.    0.996 0.998 1.    1.
 1.    1.    1.    0.984 0.921 0.695 0.327 0.161 0.    0.    0.018 0.
 0.014 0.015 0.019 0.009 0.    0.    0.002 0.366 0.435 0.505 0.009 0.
 0.    0.    0.    0.    0.    0.    0.003 0.   ]","[False False False False False False False False False False False False
 False False False False False  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False False False False False False False False False
 False False False False False False False False False False  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True]"
14,34098753,34098881,+,"[ 0.987 -0.413 -0.165 -0.69   0.608  0.041 -0.132  0.139  0.818  0.143
 -0.024  0.072  0.315  0.007 -1.792 -0.25   0.132 -0.284  2.819  0.687
 -0.441 -0.558 -0.206  0.529  0.177 -0.128  0.03  -0.109 -0.846 -0.079
  1.23  -0.335  0.133  1.125 -5.674  0.27   0.708 -0.499  0.49   0.453
 -0.034  0.477  0.067 -0.163  0.655  0.068 -1.656  0.63   0.102  0.222
  1.965  0.318 -0.154 -1.764  0.886 -0.978 -0.688 -0.854  0.08   0.634
  1.151  1.624  1.248  0.879  0.238  0.299  0.641 -0.077  0.396  1.907
 -0.099  2.224 -0.339  0.242  0.904  3.368  0.127 -0.099  0.379 -0.182
  0.055  0.981  0.345  1.967  1.974  0.38   0.399  1.298 -0.042  0.592
  0.5    1.212  2.011  3.368  1.976 -0.692  0.024  0.849  0.382  1.246
  2.514  0.761  1.95   1.252  2.007  0.141  3.406  1.618  1.093  2.74
  3.936  0.772  0.112  1.295  1.897  0.689  0.841  0.759  4.217  4.217
  4.217  3.327  2.478  3.327  3.327  3.327  3.368  3.327]","[0.001 0.    0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.013 0.007 0.    0.    0.    0.001
 0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.002 0.    0.
 0.    0.    0.001 0.001 0.    0.    0.    0.    0.001 0.    0.    0.003
 0.003 0.01  0.032 0.013 0.    0.    0.    0.    0.    0.    0.025 0.483
 0.884 0.935 0.931 0.863 0.359 0.34  0.347 0.33  0.373 0.797 0.781 0.803
 0.777 0.796 0.842 0.858 0.029 0.003 0.004 0.004 0.087 0.338 0.452 0.964
 0.98  0.971 0.969 0.969 0.939 0.948 0.987 0.999 1.    1.    0.978 0.247
 0.275 0.7   0.82  0.969 0.999 1.    1.    1.    1.    0.998 1.    1.
 1.    1.    1.    0.999 0.997 1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
